incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Minor Damage,reading,11599,707,68,lawyer,husband,0,Rear Collision,Single Vehicle Collision,0
Major Damage,reading,21374,973,49,doctor,unmarried,0,Rear Collision,Parked Car,0
Trivial Damage,skydiving,17106,1348,65,teacher,wife,600000,Front Collision,Single Vehicle Collision,0
Total Loss,biking,14520,960,20,engineer,husband,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,21621,885,51,lawyer,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,17949,899,60,engineer,own-child,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,board games,10052,1218,35,lawyer,own-child,1200000,Front Collision,Parked Car,0
Major Damage,board games,13767,1300,59,lawyer,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,24400,1398,45,manager,other-relative,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,21154,1276,35,teacher,own-child,0,Rear Collision,Multi-vehicle Collision,0
Minor Damage,biking,12213,1405,50,lawyer,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,biking,11883,1049,57,teacher,own-child,0,Front Collision,Parked Car,0
Minor Damage,cross-fit,21880,768,58,doctor,own-child,600000,Side Collision,Parked Car,0
Minor Damage,chess,19422,1045,36,engineer,other-relative,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,chess,10916,857,40,manager,unmarried,600000,Front Collision,Multi-vehicle Collision,1
Total Loss,skydiving,17338,747,46,doctor,husband,600000,Front Collision,Parked Car,0
Minor Damage,reading,22303,1072,65,teacher,unmarried,1200000,Front Collision,Parked Car,1
Total Loss,board games,16361,1325,60,manager,wife,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,skydiving,13162,1290,62,doctor,wife,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,14828,708,32,doctor,own-child,0,Front Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,18298,846,45,manager,husband,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,cross-fit,23370,692,40,manager,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Minor Damage,chess,14564,911,64,lawyer,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,7257,626,47,lawyer,husband,600000,Side Collision,Parked Car,1
Minor Damage,biking,14820,1382,60,doctor,own-child,600000,Front Collision,Parked Car,0
Total Loss,chess,16530,1237,69,teacher,other-relative,600000,Front Collision,Parked Car,1
Trivial Damage,board games,12859,936,36,doctor,wife,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,board games,19146,1267,60,manager,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,biking,9084,1077,48,engineer,husband,0,Front Collision,Multi-vehicle Collision,0
Total Loss,reading,6060,1252,40,manager,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,board games,18337,598,41,doctor,other-relative,0,Front Collision,Parked Car,0
Major Damage,board games,12220,861,22,doctor,other-relative,600000,Rear Collision,Multi-vehicle Collision,1
Total Loss,cross-fit,22080,1120,23,engineer,wife,1200000,Front Collision,Parked Car,1
Major Damage,chess,16304,1429,49,doctor,husband,0,Side Collision,Multi-vehicle Collision,0
Total Loss,skydiving,11394,1111,23,doctor,wife,0,Side Collision,Parked Car,1
Trivial Damage,board games,9399,860,39,lawyer,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,15603,870,39,manager,own-child,1200000,Front Collision,Parked Car,0
Minor Damage,chess,23318,1058,19,doctor,unmarried,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,10961,1150,57,lawyer,husband,600000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,17731,1238,66,teacher,other-relative,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,biking,19777,1295,45,teacher,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,13265,921,68,manager,own-child,1200000,Rear Collision,Parked Car,1
Major Damage,reading,16411,784,58,engineer,husband,1200000,Side Collision,Parked Car,0
Major Damage,biking,11875,1731,23,lawyer,husband,0,Front Collision,Multi-vehicle Collision,0
Major Damage,chess,2897,1167,22,engineer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,13716,801,21,doctor,other-relative,0,Front Collision,Parked Car,0
Major Damage,board games,5288,964,52,engineer,other-relative,600000,Front Collision,Parked Car,1
Major Damage,biking,18358,789,58,teacher,unmarried,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,chess,21453,1456,25,lawyer,husband,600000,Side Collision,Multi-vehicle Collision,0
Total Loss,biking,20877,980,27,manager,unmarried,0,Side Collision,Parked Car,0
Total Loss,cross-fit,11353,1001,29,doctor,unmarried,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,board games,18881,1018,68,manager,wife,600000,Side Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,15297,1268,22,doctor,unmarried,1200000,Front Collision,Parked Car,0
Minor Damage,biking,13779,895,27,engineer,own-child,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,board games,13669,1522,63,lawyer,own-child,0,Rear Collision,Parked Car,0
Major Damage,chess,17118,1038,36,manager,own-child,0,Side Collision,Multi-vehicle Collision,0
Total Loss,skydiving,17556,846,21,teacher,husband,1200000,Front Collision,Single Vehicle Collision,0
Total Loss,board games,17365,1118,23,teacher,own-child,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,22990,1138,49,doctor,own-child,600000,Front Collision,Parked Car,0
Minor Damage,cross-fit,13568,1163,60,teacher,husband,600000,Side Collision,Single Vehicle Collision,1
Minor Damage,chess,13083,951,45,lawyer,wife,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,23724,1289,38,manager,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,board games,18767,913,36,manager,wife,1200000,Rear Collision,Parked Car,1
Minor Damage,board games,7809,882,60,engineer,wife,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,14111,1055,41,manager,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,3531,732,41,engineer,other-relative,600000,Side Collision,Parked Car,0
Total Loss,board games,16686,678,38,lawyer,other-relative,600000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,skydiving,9940,964,36,teacher,other-relative,600000,Rear Collision,Parked Car,1
Trivial Damage,reading,12897,1582,25,engineer,husband,600000,Rear Collision,Parked Car,0
Major Damage,chess,21827,920,55,teacher,unmarried,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,chess,17993,1050,61,doctor,own-child,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,15632,829,57,teacher,wife,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,20075,844,58,teacher,own-child,600000,Front Collision,Parked Car,1
Total Loss,cross-fit,14593,1146,58,doctor,unmarried,600000,Rear Collision,Parked Car,0
Trivial Damage,reading,17102,676,46,doctor,own-child,600000,Rear Collision,Parked Car,0
Total Loss,chess,6707,1455,31,teacher,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,biking,14715,1535,30,manager,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,12886,1320,33,lawyer,husband,1200000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,23824,1027,69,manager,other-relative,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,chess,18173,1023,64,teacher,husband,600000,Front Collision,Parked Car,1
Major Damage,biking,23243,872,56,doctor,other-relative,600000,Front Collision,Parked Car,0
Total Loss,board games,14608,1096,50,teacher,wife,600000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,reading,13488,1120,46,lawyer,wife,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,reading,16092,543,68,teacher,wife,0,Front Collision,Parked Car,0
Total Loss,skydiving,19217,681,38,teacher,unmarried,600000,Front Collision,Parked Car,1
Trivial Damage,skydiving,11731,1098,34,teacher,own-child,0,Side Collision,Parked Car,0
Total Loss,board games,12245,1056,18,teacher,other-relative,1200000,Rear Collision,Single Vehicle Collision,1
Minor Damage,reading,19013,1219,64,doctor,wife,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,12964,828,37,engineer,other-relative,600000,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,16297,1282,32,lawyer,own-child,0,Side Collision,Single Vehicle Collision,0
Major Damage,reading,15695,1502,59,manager,husband,600000,Side Collision,Multi-vehicle Collision,1
Total Loss,skydiving,18031,541,32,manager,own-child,1200000,Side Collision,Parked Car,0
Trivial Damage,reading,14782,1276,56,engineer,husband,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,14104,1359,39,lawyer,other-relative,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,biking,23072,852,63,teacher,own-child,1200000,Rear Collision,Multi-vehicle Collision,1
Major Damage,biking,14283,957,67,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,24306,1081,24,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,14141,392,34,manager,unmarried,0,Front Collision,Parked Car,0
Minor Damage,chess,14792,1090,53,engineer,husband,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,22635,857,49,doctor,other-relative,0,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,12282,797,65,engineer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,15715,1059,39,engineer,unmarried,1200000,Rear Collision,Parked Car,0
Major Damage,biking,20093,524,26,teacher,wife,600000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,14055,1016,55,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,13643,1045,33,teacher,wife,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,16804,1166,32,teacher,other-relative,1200000,Side Collision,Parked Car,0
Minor Damage,cross-fit,20925,1352,23,manager,husband,0,Front Collision,Parked Car,1
Total Loss,biking,8091,1194,54,teacher,own-child,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,4151,1705,21,engineer,unmarried,0,Front Collision,Parked Car,0
Total Loss,reading,10128,507,47,teacher,wife,600000,Front Collision,Parked Car,1
Total Loss,chess,16062,781,63,doctor,other-relative,1200000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,reading,13518,1055,55,engineer,husband,0,Front Collision,Single Vehicle Collision,0
Major Damage,cross-fit,20685,1044,40,teacher,husband,600000,Front Collision,Parked Car,0
Trivial Damage,biking,12674,677,32,teacher,unmarried,0,Front Collision,Parked Car,1
Total Loss,reading,18871,985,44,teacher,other-relative,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,19127,750,28,teacher,other-relative,1200000,Side Collision,Parked Car,0
Major Damage,skydiving,10033,1143,43,teacher,wife,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,10880,535,54,doctor,wife,0,Front Collision,Parked Car,0
Major Damage,board games,15830,809,32,teacher,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,18836,917,24,manager,husband,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,9727,961,68,doctor,other-relative,600000,Side Collision,Parked Car,0
Trivial Damage,board games,21643,820,66,doctor,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,20456,572,35,teacher,unmarried,1200000,Side Collision,Parked Car,0
Minor Damage,board games,15269,1187,37,doctor,wife,0,Front Collision,Parked Car,0
Major Damage,chess,15030,1084,32,lawyer,own-child,0,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,16522,1270,44,engineer,husband,0,Rear Collision,Single Vehicle Collision,1
Major Damage,reading,15218,1021,41,teacher,husband,1200000,Side Collision,Parked Car,0
Minor Damage,chess,20034,751,25,lawyer,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,8048,1226,19,teacher,own-child,600000,Rear Collision,Parked Car,1
Major Damage,skydiving,15582,1169,55,lawyer,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,18075,1232,22,engineer,husband,0,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,15317,886,21,manager,husband,1200000,Front Collision,Single Vehicle Collision,0
Total Loss,skydiving,18700,1473,37,manager,wife,0,Side Collision,Single Vehicle Collision,1
Total Loss,reading,13218,1270,42,doctor,wife,600000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,board games,20310,697,29,engineer,other-relative,0,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,16849,1199,25,engineer,other-relative,0,Side Collision,Parked Car,0
Total Loss,board games,22862,1074,21,doctor,other-relative,600000,Rear Collision,Parked Car,1
Trivial Damage,biking,10855,1123,25,engineer,husband,0,Side Collision,Multi-vehicle Collision,0
Major Damage,biking,17475,937,36,lawyer,other-relative,600000,Side Collision,Single Vehicle Collision,0
Major Damage,board games,15357,947,65,lawyer,unmarried,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,18617,1189,29,lawyer,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,chess,18770,765,37,manager,husband,0,Front Collision,Parked Car,0
Major Damage,reading,19241,1168,54,manager,unmarried,600000,Front Collision,Parked Car,0
Total Loss,skydiving,14644,341,26,teacher,own-child,600000,Side Collision,Multi-vehicle Collision,1
Minor Damage,cross-fit,21456,1223,31,lawyer,husband,1200000,Front Collision,Single Vehicle Collision,1
Total Loss,board games,21102,1126,51,engineer,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,biking,17531,1214,68,engineer,wife,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,19216,754,67,doctor,wife,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,board games,17931,1193,65,teacher,own-child,0,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,21510,765,61,doctor,other-relative,0,Side Collision,Multi-vehicle Collision,1
Total Loss,reading,16774,914,52,teacher,own-child,600000,Rear Collision,Parked Car,0
Major Damage,chess,18783,1311,35,teacher,other-relative,1200000,Front Collision,Parked Car,0
Major Damage,cross-fit,22572,1361,20,doctor,unmarried,0,Front Collision,Parked Car,1
Trivial Damage,cross-fit,24972,1014,60,doctor,other-relative,600000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,chess,16082,900,66,manager,own-child,1200000,Rear Collision,Parked Car,0
Trivial Damage,chess,10516,1042,67,teacher,own-child,0,Side Collision,Parked Car,0
Total Loss,cross-fit,18462,549,46,lawyer,wife,600000,Side Collision,Multi-vehicle Collision,1
Total Loss,reading,11873,1432,31,manager,unmarried,600000,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,15556,1164,34,doctor,wife,0,Side Collision,Multi-vehicle Collision,1
Major Damage,skydiving,5293,1511,21,lawyer,own-child,0,Rear Collision,Parked Car,0
Total Loss,cross-fit,12605,1352,45,engineer,other-relative,600000,Rear Collision,Parked Car,1
Major Damage,skydiving,15002,1164,62,doctor,wife,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,15858,844,65,manager,own-child,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,14263,859,55,manager,husband,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,9454,780,18,engineer,wife,600000,Side Collision,Parked Car,0
Total Loss,reading,12644,748,57,teacher,other-relative,600000,Rear Collision,Single Vehicle Collision,1
Total Loss,reading,12524,605,25,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,chess,20466,947,64,lawyer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,19953,765,62,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,10449,632,36,lawyer,wife,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,17042,1026,52,teacher,unmarried,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,16544,855,31,manager,wife,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,chess,21135,908,69,manager,own-child,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,16085,840,41,engineer,wife,0,Front Collision,Single Vehicle Collision,0
Total Loss,biking,20413,845,28,lawyer,husband,1200000,Front Collision,Parked Car,1
Trivial Damage,chess,14261,518,20,lawyer,other-relative,0,Rear Collision,Parked Car,0
